scale_km2,origin,question_code,support_points_n,state_no_wells_n,state_wells_without_direct_n,state_direct_present_n,state_no_wells_pct,state_wells_without_direct_pct,state_direct_present_pct,control_total_ok,method_version
1000,OX25,Q02,14284,5579,846,7859,39.057687,5.922711,55.019602,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,OX25,Q03,14284,5579,1577,7128,39.057687,11.040325,49.901988,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,OX25,Q04,14284,5579,563,8142,39.057687,3.941473,57.00084,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,OX25,Q05,14284,5579,2393,6312,39.057687,16.75301,44.189303,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,OY25,Q01,14284,5288,479,8517,37.020442,3.353402,59.626155,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,OY25,Q02,14284,5288,634,8362,37.020442,4.438533,58.541025,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,OY25,Q03,14284,5288,1720,7276,37.020442,12.041445,50.938113,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,OY25,Q04,14284,5288,358,8638,37.020442,2.506301,60.473257,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,OY25,Q05,14284,5288,2624,6372,37.020442,18.370204,44.609353,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,OXY25,Q01,14284,5587,600,8097,39.113694,4.200504,56.685802,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,OXY25,Q02,14284,5587,710,7987,39.113694,4.970596,55.91571,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,OXY25,Q03,14284,5587,1493,7204,39.113694,10.452254,50.434052,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,OXY25,Q04,14284,5587,435,8262,39.113694,3.045365,57.840941,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
1000,OXY25,Q05,14284,5587,2470,6227,39.113694,17.292075,43.594231,True,PIH_MS_V2.5_ESTABILIDADE_SENSIBILIDADE_V1
