support_id,unit,unit_assignment_status,domain,domain_assignment_status,x_5880,y_5880
SP5-0008-0096,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7817500.0
SP5-0008-0097,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7822500.0
SP5-0008-0098,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7827500.0
SP5-0008-0099,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7832500.0
SP5-0008-0100,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7837500.0
SP5-0008-0101,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7842500.0
SP5-0008-0102,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7847500.0
SP5-0008-0103,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7852500.0
SP5-0008-0104,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7857500.0
SP5-0008-0105,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7862500.0
SP5-0008-0106,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7867500.0
SP5-0008-0107,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7872500.0
SP5-0008-0108,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,7877500.0
SP5-0008-0109,Formação Xaraiés,OK,Cárstica (K),OK,4602500.0,7882500.0
SP5-0008-0110,Grupo Corumbá,OK,Cárstica (K),OK,4602500.0,7887500.0
SP5-0008-0141,Grupo Corumbá,OK,Cárstica (K),OK,4602500.0,8042500.0
SP5-0008-0142,Formação Pantanal,OK,Granular (Gr),OK,4602500.0,8047500.0
SP5-0008-0143,Depósitos aluvionares,OK,Granular (Gr),OK,4602500.0,8052500.0
SP5-0009-0042,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7547500.0
SP5-0009-0043,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7552500.0
SP5-0009-0044,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7557500.0
SP5-0009-0045,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7562500.0
SP5-0009-0046,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7567500.0
SP5-0009-0047,Depósitos aluvionares,OK,Granular (Gr),OK,4607500.0,7572500.0
SP5-0009-0048,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7577500.0
SP5-0009-0049,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7582500.0
SP5-0009-0050,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7587500.0
SP5-0009-0051,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7592500.0
SP5-0009-0052,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7597500.0
SP5-0009-0053,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7602500.0
SP5-0009-0054,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7607500.0
SP5-0009-0055,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7612500.0
SP5-0009-0056,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7617500.0
SP5-0009-0057,Depósitos aluvionares,OK,Granular (Gr),OK,4607500.0,7622500.0
SP5-0009-0058,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7627500.0
SP5-0009-0059,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7632500.0
SP5-0009-0060,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7637500.0
SP5-0009-0061,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7642500.0
SP5-0009-0062,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7647500.0
SP5-0009-0063,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7652500.0
SP5-0009-0064,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7657500.0
SP5-0009-0065,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7662500.0
SP5-0009-0066,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7667500.0
SP5-0009-0067,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7672500.0
SP5-0009-0068,Depósitos aluvionares,OK,Granular (Gr),OK,4607500.0,7677500.0
SP5-0009-0069,Depósitos aluvionares,OK,Granular (Gr),OK,4607500.0,7682500.0
SP5-0009-0070,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7687500.0
SP5-0009-0071,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7692500.0
SP5-0009-0072,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7697500.0
SP5-0009-0073,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7702500.0
SP5-0009-0074,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7707500.0
SP5-0009-0075,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7712500.0
SP5-0009-0076,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7717500.0
SP5-0009-0077,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7722500.0
SP5-0009-0078,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7727500.0
SP5-0009-0079,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7732500.0
SP5-0009-0080,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7737500.0
SP5-0009-0081,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7742500.0
SP5-0009-0082,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7747500.0
SP5-0009-0083,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7752500.0
SP5-0009-0084,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7757500.0
SP5-0009-0085,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7762500.0
SP5-0009-0086,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7767500.0
SP5-0009-0087,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7772500.0
SP5-0009-0088,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7777500.0
SP5-0009-0089,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7782500.0
SP5-0009-0090,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7787500.0
SP5-0009-0091,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7792500.0
SP5-0009-0092,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7797500.0
SP5-0009-0093,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7802500.0
SP5-0009-0094,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7807500.0
SP5-0009-0095,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7812500.0
SP5-0009-0096,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7817500.0
SP5-0009-0097,Formação Pantanal,OK,Granular (Gr),OK,4607500.0,7822500.0
