well_id,latitude,longitude,inside_ms_ibge2025,declared_municipality,spatial_municipality,municipality_match,exact_coordinate_group,nearest_other_well_id,nearest_neighbor_m,coordinate_quality_status,coordinate_quality_reasons
3500026945,-19.49138899999997,-54.56361099999998,True,São Gabriel do Oeste,São Gabriel do Oeste,True,,3500073823,1479.36,OK,nenhuma anomalia objetiva identificada nesta etapa
3500026973,-18.74361099999993,-52.73027799999994,True,Chapadão do Sul,Chapadão do Sul,True,,3500053096,703.24,OK,nenhuma anomalia objetiva identificada nesta etapa
3500023349,-23.62972199999996,-55.019443999999964,True,Tacuru,Tacuru,True,,3500073175,307.12,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022681,-23.10611099999994,-55.23472199999998,True,Amambai,Amambai,True,,3500027276,91.81,OK,nenhuma anomalia objetiva identificada nesta etapa
3500023299,-20.85916599999996,-51.74194399999993,True,Três Lagoas,Três Lagoas,True,,3500071514,1399.96,OK,nenhuma anomalia objetiva identificada nesta etapa
3500045680,-20.99222199999997,-51.798055999999974,True,Três Lagoas,Três Lagoas,True,,3500045651,96.5,OK,nenhuma anomalia objetiva identificada nesta etapa
3500023283,-21.299165999999957,-52.822776999999974,True,Santa Rita do Pardo,Santa Rita do Pardo,True,,3500027203,312.44,OK,nenhuma anomalia objetiva identificada nesta etapa
3500026968,-22.416110999999944,-54.508055999999954,True,Fátima do Sul,Fátima do Sul,True,,3500073878,2876.63,OK,nenhuma anomalia objetiva identificada nesta etapa
3500026914,-20.371666999999945,-54.58361099999996,True,Campo Grande,Campo Grande,True,,3500026913,65.36,OK,nenhuma anomalia objetiva identificada nesta etapa
3500026971,-20.086666999999977,-51.09361099999995,True,Aparecida do Taboado,Aparecida do Taboado,True,,3500023315,653.75,OK,nenhuma anomalia objetiva identificada nesta etapa
3500023208,-20.68083299999995,-55.352776999999946,True,Dois Irmãos do Buriti,Dois Irmãos do Buriti,True,,3500027110,4213.76,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022856,-22.138332999999932,-54.48611099999994,True,Dourados,Dourados,True,,3500027071,84.18,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022852,-22.07722199999995,-54.787221999999986,True,Itaporã,Itaporã,True,,3500027049,84.18,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022500,-20.52444399999996,-54.58694399999996,True,Campo Grande,Campo Grande,True,,3500072834,72.95,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022694,-22.62805499999996,-54.82638799999995,True,Caarapó,Caarapó,True,,3500027046,96.64,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022810,-20.91388799999993,-54.956943999999964,True,Sidrolândia,Sidrolândia,True,,3500027194,28.77,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022893,-20.459443999999962,-54.633332999999936,True,Campo Grande,Campo Grande,True,,3500073443,119.16,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022929,-20.520276999999965,-54.60888799999998,True,Campo Grande,Campo Grande,True,,3500023097,57.75,OK,nenhuma anomalia objetiva identificada nesta etapa
3500065099,-20.50499999999994,-54.633055999999954,True,Campo Grande,Campo Grande,True,,3500071067,374.85,OK,nenhuma anomalia objetiva identificada nesta etapa
3500065106,-20.46999999999997,-54.63888899999995,True,Campo Grande,Campo Grande,True,,3500022896,96.57,OK,nenhuma anomalia objetiva identificada nesta etapa
3500065131,-22.038055999999983,-54.74888899999996,True,Itaporã,Itaporã,True,,3500027183,845.67,OK,nenhuma anomalia objetiva identificada nesta etapa
3500070112,-21.745218999999963,-52.47570299999995,True,Bataguassu,Bataguassu,True,,3500053097,70.47,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022503,-20.478332999999964,-54.572221999999954,True,Campo Grande,Campo Grande,True,,3500070910,256.69,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022519,-20.540554999999927,-54.57777699999997,True,Campo Grande,Campo Grande,True,,3500072325,921.28,OK,nenhuma anomalia objetiva identificada nesta etapa
3500022531,-20.480276999999944,-54.75583299999994,True,Campo Grande,Campo Grande,True,,3500065051,232.83,OK,nenhuma anomalia objetiva identificada nesta etapa
