evidence_code,scale_a_km2,scale_b_km2,grid_family,support_points_n,spearman_density_per100km2,presence_jaccard,presence_mismatch_pct,presence_a_pct,presence_b_pct
E10,250,1000,SCALE_PRIMARY_O00_V1,14284,0.5956860897159273,0.44557159578618805,29.844581349761974,25.077009241108932,52.737328479417535
E10,500,1000,SCALE_PRIMARY_O00_V1,14284,0.6533310428580248,0.5868218974486005,23.354802576309158,36.95743489218707,52.737328479417535
E11,100,150,SCALE_PRIMARY_O00_V1,14284,0.5749807271595966,0.43217535153019027,9.61215345841501,10.270232427891347,13.973676841220946
E11,100,250,SCALE_PRIMARY_O00_V1,14284,0.5383369067940943,0.38220064724919095,13.364603752450293,10.270232427891347,19.630355642677124
E11,100,500,SCALE_PRIMARY_O00_V1,14284,0.48383994754014076,0.2995234853641933,21.611593391206945,10.270232427891347,29.823578829459535
E11,100,1000,SCALE_PRIMARY_O00_V1,14284,0.39979163271733775,0.21607032695866749,35.58527023242789,10.270232427891347,44.931391767012045
E11,150,250,SCALE_PRIMARY_O00_V1,14284,0.5649708101286248,0.44187443676779814,13.007560907308877,13.973676841220946,19.630355642677124
E11,150,500,SCALE_PRIMARY_O00_V1,14284,0.517763727419951,0.37042716319824753,20.120414449733968,13.973676841220946,29.823578829459535
E11,150,1000,SCALE_PRIMARY_O00_V1,14284,0.45206896269249414,0.2841880341880342,32.83394007280874,13.973676841220946,44.931391767012045
E11,250,500,SCALE_PRIMARY_O00_V1,14284,0.5604613539440498,0.45110928512736237,18.706244749369922,19.630355642677124,29.823578829459535
E11,250,1000,SCALE_PRIMARY_O00_V1,14284,0.5281460528730249,0.39431508920471725,28.045365443853264,19.630355642677124,44.931391767012045
E11,500,1000,SCALE_PRIMARY_O00_V1,14284,0.5779490365892471,0.5094713033644331,24.29291514981798,29.823578829459535,44.931391767012045
E12,100,150,SCALE_PRIMARY_O00_V1,14284,0.5966385837912799,0.47226844148641156,13.322598711845421,16.304956594791374,20.86250350042005
E12,100,250,SCALE_PRIMARY_O00_V1,14284,0.5647337134476723,0.42259049280418665,18.538224586950435,16.304956594791374,29.36852422290675
E12,100,500,SCALE_PRIMARY_O00_V1,14284,0.5214567848632161,0.35338717652876217,27.46429571548586,16.304956594791374,41.17894147297675
E12,100,1000,SCALE_PRIMARY_O00_V1,14284,0.45955709926731936,0.2746095168906647,41.942033043965274,16.304956594791374,57.392887146457575
E12,150,250,SCALE_PRIMARY_O00_V1,14284,0.5959870941019012,0.4888981116414194,17.243069168300195,20.86250350042005,29.36852422290675
E12,150,500,SCALE_PRIMARY_O00_V1,14284,0.5588848108542972,0.4282030620467365,24.83898067768132,20.86250350042005,41.17894147297675
E12,150,1000,SCALE_PRIMARY_O00_V1,14284,0.5086240407411903,0.3438326520798269,38.21058527023243,20.86250350042005,57.392887146457575
E12,250,500,SCALE_PRIMARY_O00_V1,14284,0.6317506701871459,0.5460263884627187,20.715485858302994,29.36852422290675,41.17894147297675
E12,250,1000,SCALE_PRIMARY_O00_V1,14284,0.5972203361376085,0.4795845272206304,30.516661999439933,29.36852422290675,57.392887146457575
E12,500,1000,SCALE_PRIMARY_O00_V1,14284,0.6612798303384193,0.6193214491086831,23.172780733688043,41.17894147297675,57.392887146457575
