support_id,x_5880,y_5880,hydro_surface_unit,hydro_surface_domain,question_code,priority_code_100km2,priority_code_150km2,priority_code_250km2,priority_code_500km2,priority_code_1000km2,priority_exact_all_scales,priority_changes_across_scales_n,priority_min_code_across_scales,priority_max_code_across_scales,integrated_priority_calculated,method_version
SP5-0006-0087,4592500.0,7772500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0088,4592500.0,7777500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0091,4592500.0,7792500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0092,4592500.0,7797500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0093,4592500.0,7802500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0094,4592500.0,7807500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0095,4592500.0,7812500.0,Formação Pantanal,Granular (Gr),Q01,2,2,0,0,0,False,1,0,2,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0096,4592500.0,7817500.0,Formação Pantanal,Granular (Gr),Q01,2,2,0,2,2,False,2,0,2,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0097,4592500.0,7822500.0,Formação Pantanal,Granular (Gr),Q01,2,2,0,2,2,False,2,0,2,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0098,4592500.0,7827500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,2,2,False,1,0,2,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0099,4592500.0,7832500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,2,2,False,1,0,2,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0100,4592500.0,7837500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,2,False,1,0,2,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0101,4592500.0,7842500.0,Grupo Corumbá,Cárstica (K),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0102,4592500.0,7847500.0,Grupo Corumbá,Cárstica (K),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0103,4592500.0,7852500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0104,4592500.0,7857500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0105,4592500.0,7862500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0006-0106,4592500.0,7867500.0,Embasamento Indiferenciado,Fraturada (Fr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0007-0042,4597500.0,7547500.0,Depósitos aluvionares,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0007-0043,4597500.0,7552500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0007-0044,4597500.0,7557500.0,Depósitos aluvionares,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0007-0045,4597500.0,7562500.0,Depósitos aluvionares,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0007-0046,4597500.0,7567500.0,Depósitos aluvionares,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0007-0047,4597500.0,7572500.0,Depósitos aluvionares,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0007-0048,4597500.0,7577500.0,Depósitos aluvionares,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0007-0049,4597500.0,7582500.0,Depósitos aluvionares,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0007-0050,4597500.0,7587500.0,Depósitos aluvionares,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0007-0051,4597500.0,7592500.0,Depósitos aluvionares,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0007-0052,4597500.0,7597500.0,Depósitos aluvionares,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0007-0053,4597500.0,7602500.0,Depósitos aluvionares,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0007-0054,4597500.0,7607500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0007-0055,4597500.0,7612500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0007-0056,4597500.0,7617500.0,Embasamento Indiferenciado,Fraturada (Fr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0007-0057,4597500.0,7622500.0,Embasamento Indiferenciado,Fraturada (Fr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0007-0058,4597500.0,7627500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0007-0061,4597500.0,7642500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0007-0069,4597500.0,7682500.0,Depósitos aluvionares,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0007-0070,4597500.0,7687500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0007-0071,4597500.0,7692500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0007-0072,4597500.0,7697500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
SP5-0007-0073,4597500.0,7702500.0,Formação Pantanal,Granular (Gr),Q01,0,0,0,0,0,True,0,0,0,False,PIH_MS_V2.6_PRIORIDADE_POR_PERGUNTA_V1
