well_id,municipality,hydro_unit,domain,layer_code,layer_name,latest_evidence_date,latest_evidence_age_years,dated_domains_n,time_series_status
3500022645,Ivinhema,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,2001-11-28,24.75067934317611,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022648,Nova Alvorada do Sul,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,2002-03-06,24.482364456491236,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022670,Campo Grande,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,1997-01-06,29.64331916466457,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022676,Ivinhema,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,1991-06-11,35.21769783089317,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022721,Naviraí,Grupo Caiuá,Granular,T04,Evidência hidrogeológica datada,1993-12-14,32.70703710548471,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022761,Aquidauana,Formação Aquidauana,Granular,T04,Evidência hidrogeológica datada,1969-01-02,57.65484575316399,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022771,Aquidauana,Formação Aquidauana,Granular,T04,Evidência hidrogeológica datada,1981-01-02,45.65459934153336,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022772,Bodoquena,Grupo Cuiaba,Fraturada,T04,Evidência hidrogeológica datada,2005-02-25,21.506259539894728,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022793,Miranda,Grupo Cuiaba,Fraturada,T04,Evidência hidrogeológica datada,1991-06-01,35.245076900963056,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022795,Bodoquena,Grupo Corumbá,Cárstica,T04,Evidência hidrogeológica datada,1981-04-25,45.34521584974366,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022836,Dourados,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,1981-01-02,45.65459934153336,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022853,Itaporã,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,2003-10-16,22.869737229375005,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022861,Maracaju,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,2005-03-15,21.456977213768933,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
3500022862,Maracaju,Formação Serra Geral,Fraturada,T04,Evidência hidrogeológica datada,2006-01-30,20.578109064525623,1,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA
