well_id,municipality,aquifer,depth_m,source,evidence_code,latitude,longitude
3500073052,Aparecida do Taboado,Bauru,120.0,SIAGAS_MS_20260814,E02,-20.036002999999937,-51.08513099999993
3500073049,Camapuã,Serra geral,120.0,SIAGAS_MS_20260814,E02,-19.638702999999964,-54.14430799999997
3500073114,Rio Verde de Mato Grosso,Furnas,110.0,SIAGAS_MS_20260814,E02,-18.908121999999935,-54.83955599999996
3500073131,Três Lagoas,Bauru,110.0,SIAGAS_MS_20260814,E02,-20.592982999999947,-51.69670299999996
3500073144,Amambai,Botucatu,108.0,SIAGAS_MS_20260814,E02,-23.100535999999977,-55.22284199999996
3500073171,Itaporã,Serra geral,103.0,SIAGAS_MS_20260814,E02,-22.096499999999935,-54.74111099999993
3500073194,Três Lagoas,Bauru,101.0,SIAGAS_MS_20260814,E02,-20.792441999999937,-51.67340299999995
3500073191,Terenos,Botucatu,102.0,SIAGAS_MS_20260814,E02,-20.261457999999948,-54.98398599999996
3500073178,Jateí,Serra geral,103.0,SIAGAS_MS_20260814,E02,-22.51194399999997,-54.31249999999994
3500073208,Campo Grande,Serra geral,100.0,SIAGAS_MS_20260814,E02,-20.43688899999995,-54.62816899999996
3500073203,Mundo Novo,Bauru,101.0,SIAGAS_MS_20260814,E02,-23.95292799999993,-54.31475799999998
3500073202,Rio Brilhante,Serra geral,101.0,SIAGAS_MS_20260814,E02,-21.72591099999994,-54.52053099999995
3500073201,Campo Grande,Serra geral,101.0,SIAGAS_MS_20260814,E02,-20.28899999999993,-54.650999999999954
3500073225,Sidrolândia,Serra geral,100.0,SIAGAS_MS_20260814,E02,-21.10145799999998,-55.231743999999935
3500073222,Três Lagoas,Serra geral,100.0,SIAGAS_MS_20260814,E02,-20.773243999999977,-51.66553099999993
3500073282,Dourados,Bauru,100.0,SIAGAS_MS_20260814,E02,-22.121666999999945,-55.20194399999997
3500073271,Sidrolândia,Bauru,100.0,SIAGAS_MS_20260814,E02,-21.13972199999995,-55.12749999999994
3500073270,Dois Irmãos do Buriti,Serra geral,100.0,SIAGAS_MS_20260814,E02,-20.711713999999972,-55.29174699999999
3500073269,Campo Grande,Botucatu,100.0,SIAGAS_MS_20260814,E02,-20.523941999999977,-54.588296999999955
3500073267,Campo Grande,Serra geral,100.0,SIAGAS_MS_20260814,E02,-20.478385999999944,-54.61398099999997
3500073294,Ivinhema,Bauru,100.0,SIAGAS_MS_20260814,E02,-22.363549999999975,-53.880488999999955
3500073300,Naviraí,Bauru,100.0,SIAGAS_MS_20260814,E02,-23.047202999999968,-54.249732999999935
3500073325,Ribas do Rio Pardo,Bauru,100.0,SIAGAS_MS_20260814,E02,-21.57188599999995,-53.06257199999993
3500073321,Sidrolândia,Serra geral,100.0,SIAGAS_MS_20260814,E02,-20.97207499999996,-54.71077799999995
3500073338,Laguna Carapã,Serra geral,100.0,SIAGAS_MS_20260814,E02,-22.442038999999966,-55.08138299999996
3500073333,Dourados,Serra geral,100.0,SIAGAS_MS_20260814,E02,-22.259799999999927,-54.810010999999975
3500073331,Dourados,Serra geral,100.0,SIAGAS_MS_20260814,E02,-22.180096999999932,-54.46894199999997
3500073327,Dourados,Bauru,100.0,SIAGAS_MS_20260814,E02,-21.984860999999967,-55.15752799999996
3500073347,Rio Verde de Mato Grosso,Furnas,100.0,SIAGAS_MS_20260814,E02,-18.898013999999932,-54.83554699999996
3500073374,Rio Verde de Mato Grosso,Furnas,100.0,SIAGAS_MS_20260814,E02,-18.900832999999977,-54.84277799999995
3500073372,Itaquiraí,Bauru,100.0,SIAGAS_MS_20260814,E02,-23.497202999999956,-54.09322499999996
3500073369,Naviraí,Bauru,100.0,SIAGAS_MS_20260814,E02,-23.045268999999962,-54.19251899999995
3500073389,Dourados,Serra geral,100.0,SIAGAS_MS_20260814,E02,-22.260202999999933,-54.792843999999945
3500073405,Itaquiraí,Bauru,98.0,SIAGAS_MS_20260814,E02,-23.27409199999994,-54.23590799999994
3500073401,Naviraí,Bauru,98.0,SIAGAS_MS_20260814,E02,-22.959443999999962,-54.39611099999996
3500073398,Maracaju,Serra geral,98.0,SIAGAS_MS_20260814,E02,-21.634810999999956,-55.15934999999996
3500073415,Sidrolândia,Serra geral,96.0,SIAGAS_MS_20260814,E02,-20.859530999999947,-54.72844999999995
3500073425,Campo Grande,Bauru,95.0,SIAGAS_MS_20260814,E02,-20.380843999999968,-54.57327499999997
3500073417,Rio Verde de Mato Grosso,Furnas,96.0,SIAGAS_MS_20260814,E02,-18.88555599999995,-54.83833299999998
3500073426,Nova Andradina,Bauru,95.0,SIAGAS_MS_20260814,E02,-21.993055999999967,-53.41861099999994
3500073433,Chapadão do Sul,Bauru,94.0,SIAGAS_MS_20260814,E02,-18.807927999999947,-52.625543999999934
3500073431,Terenos,Botucatu,95.0,SIAGAS_MS_20260814,E02,-20.26279399999993,-54.97810799999996
3500073454,Sidrolândia,Serra geral,90.0,SIAGAS_MS_20260814,E02,-20.882280999999978,-55.08707499999997
3500073450,Três Lagoas,Bauru,90.53,SIAGAS_MS_20260814,E02,-20.789138999999977,-51.667546999999956
3500073467,Iguatemi,Bauru,90.0,SIAGAS_MS_20260814,E02,-23.631999999999948,-54.63453599999997
3500073486,Dourados,Serra geral,90.0,SIAGAS_MS_20260814,E02,-22.220891999999935,-54.76511099999993
3500073481,Campo Grande,Serra geral,90.0,SIAGAS_MS_20260814,E02,-20.45836399999996,-54.56792199999995
3500073480,Aparecida do Taboado,Bauru,90.0,SIAGAS_MS_20260814,E02,-20.052363999999955,-51.111635999999976
3500073502,Três Lagoas,Bauru,86.0,SIAGAS_MS_20260814,E02,-20.77886899999993,-51.69938099999996
3500073510,Campo Grande,Serra geral,86.0,SIAGAS_MS_20260814,E02,-20.496571999999958,-54.61462799999998
3500073526,Campo Grande,Serra geral,85.0,SIAGAS_MS_20260814,E02,-20.51862799999998,-54.564877999999965
3500073533,Sidrolândia,Serra geral,84.0,SIAGAS_MS_20260814,E02,-20.79079699999994,-54.72079999999994
3500073536,Campo Grande,Serra geral,84.0,SIAGAS_MS_20260814,E02,-20.615610999999944,-54.540416999999934
3500073541,Jaraguari,Serra geral,83.0,SIAGAS_MS_20260814,E02,-20.303966999999943,-54.51101399999993
3500073548,Brasilândia,Bauru,82.0,SIAGAS_MS_20260814,E02,-21.31813599999998,-52.00279699999999
3500023053,Ponta Porã,Cobertura cenozoica,5.0,SIAGAS_MS_20260814,E02,-22.248887999999965,-55.42249999999996
3500027258,Caracol,Rocha cristalina,83.0,SIAGAS_MS_20260814,E02,-22.01472199999995,-57.03972199999998
3500023138,Amambai,Guarani,150.0,SIAGAS_MS_20260814,E02,-23.103887999999927,-55.23555499999998
3500027167,Anaurilândia,Caiua,118.0,SIAGAS_MS_20260814,E02,-22.183888999999965,-52.71333299999998
3500023358,Iguatemi,Caiua,92.0,SIAGAS_MS_20260814,E02,-23.676387999999974,-54.558610999999985
3500026925,Três Lagoas,Bauru,80.0,SIAGAS_MS_20260814,E02,-20.747499999999945,-51.66805599999998
