well_id,municipality,aquifer,latest_evidence_date,evidence_type,age_years,source,evidence_code,latitude,longitude
3500026951,Glória de Dourados,Caiua,2009-01-13,CHEM_ANALYSIS,17.624,SGB_HIDRO_MS_2024_POCOS,E11,-22.459443999999962,-54.29527799999994
3500027020,Angélica,Serra geral,2009-10-21,CHEM_ANALYSIS,16.854,SGB_HIDRO_MS_2024_POCOS,E11,-21.966666999999973,-53.808055999999965
3500027043,Três Lagoas,Bauru,2009-09-16,PUMPING_TEST,16.95,SGB_HIDRO_MS_2024_POCOS,E11,-20.79611099999994,-51.70055599999995
3500027145,Nova Andradina,Caiua,2009-10-01,PUMPING_TEST,16.909,SGB_HIDRO_MS_2024_POCOS,E11,-21.996666999999945,-53.43861099999998
3500027199,Três Lagoas,Bauru,2010-01-25,PUMPING_TEST,16.591,SGB_HIDRO_MS_2024_POCOS,E11,-20.79333299999996,-51.66722199999998
3500027213,Três Lagoas,Bauru,2009-11-17,CHEM_ANALYSIS,16.78,SGB_HIDRO_MS_2024_POCOS,E11,-20.77166699999998,-51.73583299999996
3500027214,Três Lagoas,Bauru,2010-01-25,PUMPING_TEST,16.591,SGB_HIDRO_MS_2024_POCOS,E11,-20.78583299999997,-51.70749999999998
3500027215,Dourados,Serra geral,2009-12-01,CHEM_ANALYSIS,16.742,SGB_HIDRO_MS_2024_POCOS,E11,-22.134443999999974,-54.61861099999999
3500045422,Campo Grande,Serra geral,2010-01-04,CHEM_ANALYSIS,16.649,SGB_HIDRO_MS_2024_POCOS,E11,-20.269443999999964,-54.67861099999993
3500053093,Pedro Gomes,Furnas,2008-06-18,CHEM_ANALYSIS,18.196,SGB_HIDRO_MS_2024_POCOS,E11,-17.78249999999997,-54.745555999999965
3500023386,Nova Andradina,Caiua,1995-11-30,PUMPING_TEST,30.746,SGB_HIDRO_MS_2024_POCOS,E11,-22.246665999999948,-53.35027699999995
3500045692,Ponta Porã,Serra geral,2009-09-21,CHEM_ANALYSIS,16.936,SGB_HIDRO_MS_2024_POCOS,E11,-22.622777999999983,-55.62277799999998
3500023143,Amambai,Guarani,1987-07-03,PUMPING_TEST,39.157,SGB_HIDRO_MS_2024_POCOS,E11,-23.09972199999993,-55.230276999999944
3500026991,Laguna Carapã,Serra geral,2009-07-15,CHEM_ANALYSIS,17.123,SGB_HIDRO_MS_2024_POCOS,E11,-22.798610999999937,-55.049999999999955
3500023279,Bataguassu,Caiua,1993-07-26,PUMPING_TEST,33.092,SGB_HIDRO_MS_2024_POCOS,E11,-21.716943999999955,-52.41749999999996
3500023327,Chapadão do Sul,Bauru,1985-05-25,PUMPING_TEST,41.262,SGB_HIDRO_MS_2024_POCOS,E11,-18.803332999999952,-52.622776999999985
3500023357,Sete Quedas,Serra geral,1981-08-31,PUMPING_TEST,44.994,SGB_HIDRO_MS_2024_POCOS,E11,-23.97444399999995,-55.059443999999985
3500023307,Inocência,Serra geral,1978-08-14,CHEM_ANALYSIS,48.041,SGB_HIDRO_MS_2024_POCOS,E11,-19.728610999999944,-51.92944399999993
3500027240,Angélica,Serra geral,2010-01-25,PUMPING_TEST,16.591,SGB_HIDRO_MS_2024_POCOS,E11,-22.144999999999982,-53.76694399999997
3500045154,Campo Grande,Serra geral,2009-09-09,CHEM_ANALYSIS,16.969,SGB_HIDRO_MS_2024_POCOS,E11,-20.374166999999943,-54.567777999999976
3500053094,Campo Grande,Guarani,2011-11-22,PUMPING_TEST,14.768,SGB_HIDRO_MS_2024_POCOS,E11,-20.47333299999997,-54.75444399999998
3500022863,Maracaju,Guarani,2004-07-17,PUMPING_TEST,22.116,SGB_HIDRO_MS_2024_POCOS,E11,-21.617776999999933,-55.17166599999996
3500022883,Maracaju,Guarani,2003-10-17,CHEM_ANALYSIS,22.867,SGB_HIDRO_MS_2024_POCOS,E11,-21.72277699999995,-55.49944399999998
3500065119,Dourados,Guarani,2019-09-06,PUMPING_TEST,6.979,SGB_HIDRO_MS_2024_POCOS,E11,-22.214999999999975,-54.778888999999936
3500027069,Maracaju,Guarani,2007-07-04,CHEM_ANALYSIS,19.154,SGB_HIDRO_MS_2024_POCOS,E11,-21.61722199999997,-55.17111099999994
3500045644,Campo Grande,,2010-04-30,PUMPING_TEST,16.331,SGB_HIDRO_MS_2024_POCOS,E11,-20.943888999999956,-54.505277999999976
3500045617,Campo Grande,,2012-03-23,PUMPING_TEST,14.434,SGB_HIDRO_MS_2024_POCOS,E11,-20.392499999999927,-54.558610999999985
3500023250,Camapuã,Guarani,1998-05-30,PUMPING_TEST,28.249,SGB_HIDRO_MS_2024_POCOS,E11,-19.539165999999966,-54.03694399999995
3500045663,Ivinhema,Caiua,2012-11-13,PUMPING_TEST,13.791,SGB_HIDRO_MS_2024_POCOS,E11,-22.29277799999994,-53.81138899999996
3500023138,Amambai,Guarani,1982-04-22,CHEM_ANALYSIS,44.353,SGB_HIDRO_MS_2024_POCOS,E11,-23.103887999999927,-55.23555499999998
3500027167,Anaurilândia,Caiua,2010-01-25,PUMPING_TEST,16.591,SGB_HIDRO_MS_2024_POCOS,E11,-22.183888999999965,-52.71333299999998
3500023358,Iguatemi,Caiua,1991-12-17,PUMPING_TEST,34.7,SGB_HIDRO_MS_2024_POCOS,E11,-23.676387999999974,-54.558610999999985
3500026925,Três Lagoas,Bauru,2008-02-14,CHEM_ANALYSIS,18.538,SGB_HIDRO_MS_2024_POCOS,E11,-20.747499999999945,-51.66805599999998
3500026970,São Gabriel do Oeste,Serra geral,2008-06-17,CHEM_ANALYSIS,18.198,SGB_HIDRO_MS_2024_POCOS,E11,-19.30583299999995,-54.52472199999994
3500026938,Nova Andradina,Serra geral,2008-06-27,CHEM_ANALYSIS,18.171,SGB_HIDRO_MS_2024_POCOS,E11,-22.288332999999966,-53.383332999999936
3500026972,Chapadão do Sul,Bauru,2008-06-14,CHEM_ANALYSIS,18.207,SGB_HIDRO_MS_2024_POCOS,E11,-18.735832999999957,-52.73999999999995
3500027094,Dourados,Serra geral,2009-08-01,CHEM_ANALYSIS,17.076,SGB_HIDRO_MS_2024_POCOS,E11,-22.225832999999966,-54.79249999999996
3500027313,Aral Moreira,Serra geral,2009-10-28,PUMPING_TEST,16.835,SGB_HIDRO_MS_2024_POCOS,E11,-23.02361099999996,-55.58555599999994
3500023150,Amambai,Guarani,1981-07-08,PUMPING_TEST,45.142,SGB_HIDRO_MS_2024_POCOS,E11,-23.09944399999995,-55.24166599999995
3500023237,São Gabriel do Oeste,Guarani,1992-10-28,PUMPING_TEST,33.834,SGB_HIDRO_MS_2024_POCOS,E11,-19.25194399999998,-54.32638799999995
3500023244,Camapuã,Guarani,1989-09-07,PUMPING_TEST,36.975,SGB_HIDRO_MS_2024_POCOS,E11,-19.53416599999997,-54.03333299999997
3500023245,Camapuã,Guarani,1986-12-05,PUMPING_TEST,39.732,SGB_HIDRO_MS_2024_POCOS,E11,-19.561387999999965,-54.038610999999946
3500023236,São Gabriel do Oeste,Guarani,1998-05-10,PUMPING_TEST,28.304,SGB_HIDRO_MS_2024_POCOS,E11,-19.402221999999938,-54.58472199999994
3500023343,Nioaque,Guarani,1995-10-01,PUMPING_TEST,30.91,SGB_HIDRO_MS_2024_POCOS,E11,-21.16999999999996,-55.863887999999974
3500023379,Glória de Dourados,Bauru,1987-07-22,PUMPING_TEST,39.105,SGB_HIDRO_MS_2024_POCOS,E11,-22.406110999999953,-54.23638799999998
3500045606,Caarapó,Guarani,2009-04-27,PUMPING_TEST,17.339,SGB_HIDRO_MS_2024_POCOS,E11,-22.61861099999993,-54.69027799999998
3500022488,Campo Grande,Serra geral,1998-03-16,PUMPING_TEST,28.454,SGB_HIDRO_MS_2024_POCOS,E11,-20.48361099999994,-54.75861099999997
3500022506,Campo Grande,Serra geral,1985-09-23,PUMPING_TEST,40.931,SGB_HIDRO_MS_2024_POCOS,E11,-20.51499999999993,-54.62527699999998
3500022996,Camapuã,Guarani,1984-05-04,PUMPING_TEST,42.319,SGB_HIDRO_MS_2024_POCOS,E11,-19.01472199999995,-53.90083299999998
