well_id,municipality,aquifer,specific_capacity,unit,source,evidence_code,latitude,longitude
3500065111,Paraíso das Águas,Guarani,2.0,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-19.028055999999935,-53.01388899999995
3500022490,Campo Grande,Guarani,2.55,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.428054999999972,-54.572499999999934
3500023227,São Gabriel do Oeste,Guarani,6.11,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-19.399999999999977,-54.57527699999997
3500027241,Angélica,Caiua,3.061,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.155832999999973,-53.778332999999975
3500022607,Chapadão do Sul,Coberturas sedimentares Indiferenciadas,6.922,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-18.813887999999963,-52.62055499999997
3500022908,Campo Grande,Serra geral,7.0,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.533054999999933,-54.621943999999985
3500023141,Amambai,Guarani,0.46,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-23.09833299999997,-55.20111099999997
3500023216,Jaraguari,Guarani,0.28,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.094443999999953,-54.75277699999998
3500023272,Nova Alvorada do Sul,Serra geral,0.051,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-21.541943999999944,-54.16194399999995
3500023337,Costa Rica,Não definido,5.08,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-18.549165999999957,-53.12638799999996
3500026981,Ivinhema,Caiua,2.36,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.31444399999998,-53.82416699999993
3500027066,Itaporã,Serra geral,0.173,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.079166999999927,-54.79861099999994
3500045605,Caarapó,Guarani,3.096,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.614999999999952,-54.70138899999995
3500045699,Campo Grande,Bauru,0.377,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.37972199999996,-54.57111099999997
3500022510,Campo Grande,Serra geral,0.086,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.449165999999934,-54.59694399999995
3500022597,Camapuã,Guarani,0.531,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-19.53888799999993,-54.03666599999997
3500022600,Camapuã,Guarani,0.229,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-19.52444399999996,-54.04305499999998
3500022730,Ponta Porã,Bauru,14.667,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.529165999999975,-55.63861099999997
3500022891,Campo Grande,Serra geral,1.631,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.41888799999998,-54.633887999999956
3500023044,Camapuã,Guarani,0.53,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-19.541943999999944,-54.03694399999995
3500065097,Camapuã,Guarani,0.089,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-19.496110999999928,-54.006110999999976
3500065090,Antônio João,Guarani,0.595,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.151943999999958,-56.17888899999997
3500028108,Rochedo,Guarani,0.177,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-19.987777999999935,-54.787777999999946
3500029179,Brasilândia,Caiua,1.726,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-21.296666999999957,-52.06722199999996
3500070570,Glória de Dourados,Bauru_Caiua,0.567,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.414555999999948,-54.23930599999994
3500022483,Campo Grande,Serra geral,6.844,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.45277699999997,-54.58138799999995
3500022498,Campo Grande,Serra geral,2.5,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.552499999999952,-54.677776999999935
3500022515,Campo Grande,Serra geral,1.471,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.436387999999965,-54.64805499999994
3500022521,Campo Grande,Serra geral,1.864,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.416110999999944,-54.59861099999995
3500022526,Campo Grande,Caiua,0.365,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.425832999999955,-54.573054999999954
3500022546,Ivinhema,Caiua,4.23,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.310276999999928,-53.82805499999995
3500022551,Novo Horizonte do Sul,Caiua,0.103,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.64861099999996,-53.850832999999966
3500022554,Nova Andradina,Bauru,1.563,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.236665999999957,-53.33694399999996
3500022609,Rio Verde de Mato Grosso,Furnas,8.377,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-18.91999999999996,-54.842221999999936
3500022614,Corumbá,Não definido,1.97,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-19.04222199999998,-57.781387999999936
3500022640,Batayporã,Caiua,1.567,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.301665999999955,-53.27722199999994
3500022642,Corumbá,Não definido,6.316,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-19.091110999999955,-57.809721999999965
3500022725,Naviraí,Caiua,3.125,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-23.052776999999935,-54.18222199999997
3500022749,Eldorado,Caiua,0.181,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-23.800832999999955,-54.104165999999964
3500022798,Aquidauana,Aquidauana,0.131,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.484721999999977,-55.63694399999997
3500022803,Aquidauana,Aquidauana,0.33,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.476665999999966,-55.539999999999964
3500022832,Dourados,Serra geral,3.0,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.258610999999974,-54.79527699999994
3500022855,Itaporã,Guarani,11.1,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.08694399999996,-54.79472199999998
3500022877,Rio Brilhante,Serra geral,1.15,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-21.809999999999945,-54.53694399999995
3500022894,Campo Grande,Serra geral,1.471,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.449999999999932,-54.64277699999997
3500022895,Campo Grande,Serra geral,4.033,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.457221999999945,-54.635276999999974
3500022936,Angélica,Caiua,2.253,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.156387999999936,-53.779165999999975
3500022949,Campo Grande,Serra geral,0.195,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.517499999999927,-54.613332999999955
3500022962,Aparecida do Taboado,Bauru,1.088,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.083332999999982,-51.10583299999996
3500022991,Coxim,Furnas,2.048,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-18.519999999999982,-54.740276999999935
3500022994,Coxim,Furnas,0.467,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-18.47555499999993,-54.728610999999944
3500022995,Coxim,Furnas,0.465,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-18.465832999999975,-54.73527699999994
3500023005,Rio Verde de Mato Grosso,Furnas,0.951,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-18.91027699999995,-54.83749999999998
3500023030,Naviraí,Caiua,0.832,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-23.067776999999978,-54.18861099999998
3500023031,Ivinhema,Caiua,6.881,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.311110999999983,-53.82777699999997
3500023064,Bela Vista,Rocha sedimentar,8.609,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.178054999999972,-56.809721999999965
3500023083,Bonito,Cuiaba,0.263,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-21.122221999999965,-56.49555499999997
3500023086,Bonito,Cuiaba,0.225,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-21.115554999999972,-56.49555499999997
3500023155,Aral Moreira,Serra geral,0.02,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.95333299999993,-55.63027699999998
3500023162,Aral Moreira,Serra geral,0.155,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.74305499999997,-55.48333299999996
3500026989,Batayporã,Caiua,0.701,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.29305599999998,-53.27277799999996
3500027025,Rio Verde de Mato Grosso,Furnas,1.511,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-18.923055999999974,-54.84666699999997
3500027039,Rio Negro,Furnas,0.724,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-19.29416699999996,-54.96361099999996
3500027079,Alcinópolis,Guarani,0.48,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-18.32527799999997,-53.70833299999998
3500027087,Três Lagoas,Bauru,2.0,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-20.789721999999927,-52.05333299999995
3500027101,Iguatemi,Caiua,0.818,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-23.664721999999983,-54.56444399999998
3500027113,Novo Horizonte do Sul,Caiua,0.629,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-22.652221999999938,-53.85833299999996
3500027121,Sonora,Furnas,4.944,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-17.58583299999998,-54.74333299999995
3500027132,Japorã,Caiua,0.896,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-23.893055999999945,-54.40499999999997
3500027155,Camapuã,Guarani,0.214,SOURCE_UNIT_NOT_VERIFIED,SIAGAS_MS_20260814,E06,-19.52388899999994,-54.04249999999996
